t (s),u (deg),y (deg),current (A)
0.000000,0.000000,0.006714,0.005341
0.000050,0.037476,0.006104,0.006104
0.000100,0.073625,0.006714,0.036621
0.000150,0.107165,0.006714,0.086670
0.000200,0.136909,0.014038,0.119629
0.000250,0.161803,0.025635,0.119019
0.000300,0.180965,0.047607,0.078125
0.000350,0.193717,0.072632,0.026550
0.000400,0.199605,0.100708,-0.025635
0.000450,0.198423,0.131226,-0.055237
0.000500,0.190211,0.155029,-0.074768
0.000550,0.175261,0.172729,-0.076294
0.000600,0.154103,0.183105,-0.072784
0.000650,0.127485,0.187988,-0.074005
0.000700,0.096351,0.186157,-0.070038
0.000750,0.061803,0.180054,-0.071106
0.000800,0.025067,0.164795,-0.065460
0.000850,-0.012558,0.150146,-0.062561
0.000900,-0.049738,0.122681,-0.048676
0.000950,-0.085156,0.099487,-0.040131
0.001000,-0.117557,0.064087,-0.025940
0.001050,-0.145794,0.034180,-0.008545
0.001100,-0.168866,-0.003052,0.011597
0.001150,-0.185955,-0.036621,0.024567
0.001200,-0.196457,-0.070801,0.039825
0.001250,-0.200000,-0.095825,0.051270
0.001300,-0.196457,-0.124512,0.062866
0.001350,-0.185955,-0.143433,0.071716
0.001400,-0.168866,-0.161133,0.078278
0.001450,-0.145794,-0.170288,0.087585
0.001500,-0.117557,-0.175781,0.084229
0.001550,-0.085156,-0.170898,0.086975
0.001600,-0.049738,-0.159912,0.083923
0.001650,-0.012558,-0.149536,0.077667
0.001700,0.025067,-0.123901,0.063934
0.001750,0.061803,-0.103149,0.053558
0.001800,0.096351,-0.071411,0.040436
0.001850,0.127485,-0.040283,0.025635
0.001900,0.154103,-0.006714,0.008392
0.001950,0.175261,0.028076,-0.005646
0.002000,0.190211,0.058594,-0.017853
0.002050,0.198423,0.095825,-0.032806
0.002100,0.199605,0.123901,-0.048828
0.002150,0.193717,0.146484,-0.063629
0.002200,0.180965,0.166016,-0.072174
0.002250,0.161803,0.177612,-0.076599
0.002300,0.136909,0.189209,-0.079803
0.002350,0.107165,0.186157,-0.074310
0.002400,0.073625,0.184937,-0.070801
